Filename,Noun Freq,Verb Freq,Adj Freq,Adv Freq,Unique PER,Unique LOC,Unique ORG
0102.a4.txt,1564.3,1113.24,566.22,345.49,"{'Jung', 'Cuckoo', 'Dale Harding', 'Bromden', 'Dale', 'Harding', 'Vera', 'Freud', 'Maxwell Jones', 'Ms Ratched'}",set(),"{'McMurphy', 'Hardin', 'Mc Murphy', 'the Group Meeting', ""the Patient's Council""}"
0103.a4.txt,997.08,1189.5,413.99,297.38,"{'John Fowles', 'Frederick', 'Uncle Dick', 'Annie', 'Holden Caulfield', 'Piero', 'Miranda', 'Fred', ""John Fowles'"", 'Marian', 'Mabel'}",set(),"{'the National Gallery', 'p.205', 'the Tate Gallery', 'Ferdinand,'}"
0104.a4.txt,1487.76,1120.53,649.72,386.06,"{'Bromden', 'McMurphy', 'Ken Kesey', 'Randle P. McMurphy'}",set(),"{'Big Nurse', 'pg.140', 'McMurphy', 'O-U-T-'}"
0105.a4.txt,1410.69,1149.03,546.08,728.1,"{'McMurphy', 'Bromden', 'Doc', 'Dr Spivey', 'Sefelt', ""Dr Spivey's""}",set(),"{'the Big Nurse', 'The Big Nurse'}"
0106.a4.txt,1378.3,1065.49,713.59,410.56,"{'John Fowles', 'Holden Caulfield', 'Calibanity', 'Miranda', ""Frederick's-"", 'Shakespeare', 'G.P.'}",set(),"{'Caliban', 'Miranda', 'Frederick- Caliban', 'Sinbad', 'the New People'}"
0107.a4.txt,1531.44,1318.46,659.23,436.11,"{'Ladymont', 'p.217', 'Miranda', 'George Paston', ""John Fowles'""}",set(),"{'Caliban', 'Miranda'}"
0108.a4.txt,1441.61,1304.74,620.44,392.34,"{'Billys', 'McMurphy', 'Bromdens', 'Candy', 'Bromden', 'Billy Bibbit', 'Mrs Ratched', 'Billy'}",set(),"{'McMurphy', 'Kesey'}"
0109.a4.txt,1666.67,1138.89,657.41,388.89,"{'John Fowles', 'Fowles', 'Miranda'}",set(),"{'Caliban', 'G.P.', 'Miranda'}"
0110.a4.txt,1793.98,1157.41,613.43,335.65,"{'Gemmys', 'Lachlan Bettie', 'Malouf'}",set(),{'Gemmy'}
0111.a4.txt,1427.06,1226.22,676.53,391.12,"{'Bromden', ""Ken Kesey's"", 'Harding', 'McMurphy'}",set(),"{'McMurphy', 'Nurse-', 'the Big Nurse', ""the Big Nurse's"", 'The Big Nurse'}"
0112.a4.txt,1431.51,1184.35,545.83,391.35,{'Miranda'},set(),"{'Caliban', 'G.P.', 'Miranda'}"
0115.a4.txt,1878.45,850.83,718.23,519.34,"{'Gemmys', 'Malouf', 'David Malouf'}",set(),"{'Remembering Babylon', 'Gemmy', 'Lachlan'}"
0119.a4.txt,1552.46,1359.74,471.09,364.03,"{'McMurphy', 'Randle Patrick McMurphy'}",set(),"{'Big Nurse', 'the Big Nurse', 'McMurphy', ""the Big Nurse's""}"
0120.a4.txt,1263.9,1375.13,546.01,333.67,"{'Mirandas', 'Miranda Grey', 'Frederick Clegg', 'Miranda', 'G.P.'}",set(),"{'Caliban', 'the Van Goghs', 'Pale Clouded Yellow', 'Miranda'}"
0121.a4.txt,1391.01,1085.67,602.21,458.02,"{'Lovatt', 'David', 'Willam', 'Harriet', 'William', ""Doris Lessing's"", 'Sarah', 'Ben', 'Bill'}",set(),"{'Lovatt', 'Lessing', 'Lovatts'}"
0122.a4.txt,1650.14,1041.08,609.07,403.68,"{'Mary Louise Bromden', 'R.P. McMurphy', 'Bromden', 'Charley Bear Belly', 'Bromdan', 'Ken Kesey', 'Broom'}",set(),"{'McMurphy', 'p.26', 'the Radar Corps', 'Columbia', ""the Big Nurse's""}"
0127.a4.txt,1224.97,1142.52,530.04,647.82,"{'Mirandas', 'BUTTERFLY', 'Fred lures Miranda', 'Miranda', 'Fred', ""John Fowles'""}",set(),"{'Caliban', 'CALIBAN', 'Miranda', 'workingclass', 'G.P.'}"
0128.a4.txt,1828.4,1103.17,520.94,388.15,"{'Babylon', ""Lachlan Beattie's"", 'David Malouf'}",set(),"{'Babylon', 'Gemmy'}"
0130.a4.txt,1631.34,995.39,479.26,497.7,"{'McMurphy', 'Candy', 'Billy Bibbit \nBilly Bibbit', 'Miss', 'Bromden', 'Billy Bibbit', 'Harding', 'Billy'}",set(),"{'Big Nurse', 'McMurphy', 'Kesey'}"
0134.a4.txt,1311.32,1000.0,773.58,349.06,"{""Miranda Grey's"", 'Clegg', ""John Fowles's"", 'Miranda'}",set(),set()
0135.a4.txt,1670.28,1008.68,715.84,574.84,"{'David', 'Harriet', 'William', 'Sarah', 'Ben', 'James', 'her slitty', 'Down'}",set(),"{'Lovatts', ""Lessing's The""}"
0136.a4.txt,1349.51,1129.64,629.26,318.42,"{'John Fowles', 'Clegg', 'a van Gogh', 'Ladymont', 'Mirandas', 'Holden Caulfield', 'Holden', 'Miranda', 'Shakespeare'}",{'the ivory tower'},"{'Caliban', 'Tempest', 'Miranda'}"
0137.a4.txt,1777.04,993.38,540.84,397.35,"{'Ladymont', 'Mirandas', 'Miranda', 'Ferdinand', 'George Paston'}",set(),"{'Caliban', 'Miranda', 'Times of Crises \nThe', 'the New People', 'G.P.'}"
0139.a4.txt,1402.71,837.1,769.23,305.43,"{'David', 'Harriet', 'Naturally Harriet', 'Ben', 'Dorothy', 'Molly'}",set(),"{'The Fifth Child', 'Lovatts'}"
0140.a4.txt,1413.16,1046.39,550.16,442.29,"{""Doctor Spivey's"", 'McMurphy', 'Nurse', 'Nurse Ratched', 'Doctor Spivey', ""Ken Kesey's"", 'Spivey'}",set(),"{'the Big Nurse', ""Nurse Ratched's"", 'McMurphy', 'Nurse Ratched'}"
0149.a4.txt,1384.06,1174.36,689.04,329.54,"{'John Fowles', 'Clegg', 'Ladymont', 'Make Clegg', 'Mirandas', 'Miranda'}",set(),"{""G:P's"", 'Caliban', 'Miranda', 'G.P.', 'G.P. His Drawing'}"
0156.a4.txt,1254.48,1278.38,513.74,454.0,"{'John Fowles', 'Mirandas', 'Miranda'}",set(),"{'Caliban', 'Labour', 'G.P.', ""Fowles's The Collector""}"
0157.a4.txt,1390.94,1074.82,716.54,569.02,"{'David', 'Harriet', 'William', 'Sarah', ""Doris Lessing's"", 'Ben', 'Down'}",set(),{'Lovatts'}
0158.a4.txt,1391.47,1094.62,677.18,565.86,"{'David', 'Harriet', ""Doris Lessing's"", 'Ben', 'Doris Lessing', 'Molly'}",set(),{'Lovatt'}
0159.a4.txt,1562.81,1068.25,633.04,464.89,"{'R.P. McMurphy', 'Bromden', 'Nurse Ratched', ""Ken Kesey's"", 'Ken Kesey', 'Harding', 'Billy'}",set(),"{'Big Nurse', ""Nurse Ratched's"", 'McMurphy', 'Nurse Ratched'}"
0161.a4.txt,1637.25,1088.24,735.29,284.31,"{'Nurse Ratched', 'Bromden', 'McMurphy', 'Patrick Randle McMurphy'}",set(),"{'Acutes', ""Nurse Ratched's"", 'McMurphy', 'Nurse Ratched'}"
0165.a4.txt,1867.63,1015.41,407.98,398.91,"{'Lachlan Beattie', 'David Malouf', 'wolf', 'Janet', 'Meg', ""David Malouf's"", 'Lachlan'}",set(),"{'Gemmy', 'Lachlan'}"
