Filename,Noun Freq,Verb Freq,Adj Freq,Adv Freq,Unique PER,Unique LOC,Unique ORG
<<<<<<< HEAD
4020.a2.txt,1618.42,973.68,763.16,486.84,4,0,3
3064.a2.txt,1941.75,1067.96,825.24,400.49,0,0,0
0133.a2.txt,1798.63,997.07,948.19,518.08,0,0,1
0209.a2.txt,2305.8,887.79,752.16,271.27,2,0,0
1067.a2.txt,2335.4,1267.08,1031.06,459.63,0,0,2
1022.a2.txt,2220.89,1296.52,540.22,396.16,0,1,0
0106.a2.txt,1668.67,1128.45,732.29,540.22,0,1,1
1095.a2.txt,1845.97,1405.87,599.02,403.42,0,0,0
2020.a2.txt,2432.86,758.29,1200.63,331.75,0,0,2
5040.a2.txt,2074.74,1211.34,631.44,554.12,0,0,2
1104.a2.txt,1977.89,1105.65,835.38,417.69,1,0,0
5032.a2.txt,2128.51,1057.56,856.76,575.64,0,1,0
0199.a2.txt,1918.32,1101.49,878.71,358.91,0,0,0
0143.a2.txt,1969.7,1136.36,919.91,422.08,0,0,0
2005.a2.txt,2054.64,1191.26,721.31,469.95,1,0,2
2031.a2.txt,1851.43,1074.29,982.86,640.0,0,0,1
3068.a2.txt,1797.07,1075.79,696.82,513.45,0,1,1
0102.a2.txt,1830.14,1136.36,645.93,681.82,0,1,1
3033.a2.txt,1904.29,1276.17,628.12,448.65,2,0,1
1074.a2.txt,1958.76,1092.78,886.6,505.15,0,0,0
2049.a2.txt,1634.8,1080.31,554.49,650.1,0,1,2
0197.a2.txt,1835.69,949.94,757.38,603.34,1,0,0
0146.a2.txt,1588.98,1430.08,677.97,497.88,0,0,0
0179.a2.txt,1984.13,1203.7,992.06,396.83,0,0,0
2062.a2.txt,1648.75,1218.64,692.95,669.06,1,0,0
0226.a2.txt,1827.41,1116.75,812.18,571.07,0,0,0
0139.a2.txt,1787.63,1196.24,739.25,577.96,0,0,0
0156.a2.txt,1782.18,1074.96,693.07,509.19,1,0,0
0155.a2.txt,2033.25,1265.98,1138.11,664.96,0,0,1
4039.a2.txt,1511.63,1179.4,614.62,415.28,2,0,0
5007.a2.txt,2068.97,1034.48,812.81,246.31,1,0,0
2074.a2.txt,2026.07,947.87,936.02,509.48,2,1,7
3040.a2.txt,1591.19,1309.67,575.28,550.8,0,0,1
3067.a2.txt,1937.98,1124.03,749.35,361.76,1,1,0
0224.a2.txt,1724.94,1095.57,454.55,361.31,4,0,1
3001.a2.txt,1185.51,1317.23,548.85,493.96,0,0,3
4001.a2.txt,1730.53,1334.98,704.57,494.44,0,0,0
4014.a2.txt,2126.87,907.96,820.9,497.51,1,0,4
1023.a2.txt,1842.11,1016.75,765.55,777.51,2,0,0
3026.a2.txt,2247.66,1113.42,634.76,457.86,0,0,1
1050.a2.txt,1898.73,920.6,943.61,517.84,1,0,0
0202.a2.txt,2102.69,1369.19,782.4,342.3,0,0,1
1062.a2.txt,2063.49,1031.75,725.62,442.18,0,0,1
0234.a2.txt,2010.31,940.72,940.72,631.44,2,0,2
0188.a2.txt,1591.98,1061.32,860.85,448.11,1,0,1
5002.a2.txt,1495.02,1251.38,653.38,509.41,0,1,1
0236.a2.txt,1527.45,1121.72,835.32,501.19,0,0,0
5029.a2.txt,1915.17,1233.93,681.23,475.58,1,0,1
2040.a2.txt,1936.58,1109.85,724.8,407.7,6,0,2
5008.a2.txt,2192.15,1082.54,960.76,460.08,0,0,0
0122.a2.txt,1849.79,1070.93,723.23,472.88,1,0,4
4043.a2.txt,1321.47,1257.94,876.75,749.68,0,0,0
0223.a2.txt,1921.08,1017.65,976.12,259.61,0,2,3
1097.a2.txt,2079.33,1081.73,745.19,444.71,1,0,2
0118.a2.txt,1757.32,1436.54,850.77,432.36,1,0,1
5016.a2.txt,1725.15,1242.69,614.04,190.06,0,0,0
