Filename,Noun Freq,Verb Freq,Adj Freq,Adv Freq,Unique PER,Unique LOC,Unique ORG
0101.a3.txt,1977.4,1096.05,734.46,451.98,{'Bullen'},set(),"{'the House of Representatives', 'Senate'}"
0102.a3.txt,1817.13,1099.54,543.98,370.37,"{'Lynn McReynolds', 'Schindler'}",set(),set()
0103.a3.txt,2034.88,886.63,1046.51,581.4,"{'Iceclimber', 'Jean Claude Van Damme', 'Garfield', 'Van Damme', 'Jerry', 'Odie', 'Tom'}",set(),"{'Mario Bros.', 'Freddie Crueger'}"
0104.a3.txt,1651.84,1105.46,622.62,533.67,"{'Jerry', 'Tom'}",set(),set()
0105.a3.txt,1651.73,1306.02,640.2,793.85,"{'Offcourse', 'wounder'}",set(),"{'Fox Moulder', 'Al Capone'}"
0106.a3.txt,2205.7,954.15,768.28,594.8,{'Bellafante'},set(),set()
0107.a3.txt,2232.03,1034.05,857.5,479.19,"{'Kevin', 'Schindler', 'Jerry', 'Tom'}",set(),set()
0109.a3.txt,1913.27,1262.76,446.43,408.16,"{'Jerry', 'Tom'}",set(),set()
0110.a3.txt,2015.02,1251.56,675.84,500.63,"{'Gina Bellafante', 'Yong'}",set(),set()
0111.a3.txt,1936.34,1167.11,530.5,397.88,"{'Schindler', 'Donald Duck', 'Ginia Bellafante'}",set(),{'Time Magazine 1995'}
0112.a3.txt,2049.76,1054.5,722.75,639.81,{'baddie'},set(),set()
0115.a3.txt,2225.13,1178.01,667.54,706.81,set(),set(),set()
0118.a3.txt,2541.11,1106.13,881.91,343.8,set(),set(),{'Senate'}
0119.a3.txt,2105.26,1101.59,734.39,465.12,{'Ginia Bellafante'},set(),{'Time Magazine'}
0120.a3.txt,2109.04,1018.65,932.57,545.19,set(),set(),set()
0121.a3.txt,1858.64,1007.85,471.2,562.83,"{'Jesus', 'Manchester United', 'Jesus \n'}",set(),set()
0122.a3.txt,2355.83,1092.02,674.85,453.99,set(),set(),"{'the ""Power Rangers'}"
0125.a3.txt,2084.89,923.85,1023.72,474.41,"{'är fler', 'Donald Duck', ""Beppe Wolgers'""}",set(),"{""fyra elefanter'"", 'Disney'}"
0127.a3.txt,1865.36,995.79,729.31,532.96,"{'Schwarzenegger', 'Steven Seagal', 'Schindler', 'Arnold Schwarzenegger', 'Bellafante', 'Jean-Claude van Damne', 'Jerry', 'Tom'}",set(),{'grewsome'}
0128.a3.txt,1973.15,1140.94,510.07,644.3,"{'Schindler', 'Tom & Jerry', 'Ginia Bellafante'}",set(),"{'Time Magazine', 'Disney'}"
0130.a3.txt,1568.63,980.39,680.51,715.11,"{'Jerry', 'Tom'}",set(),set()
0131.a3.txt,2151.9,1063.29,708.86,708.86,set(),set(),set()
0133.a3.txt,1805.13,984.62,533.33,646.15,"{'Oliver Stones', 'Schindler', 'Oliver Stone', 'Ginia Bellafante'}",set(),"{'NAB', 'the National Association of Broadcasters'}"
0134.a3.txt,2077.29,978.26,1002.42,591.79,set(),set(),set()
0135.a3.txt,2002.55,1122.45,650.51,420.92,{'Gina Bellafante'},set(),set()
0136.a3.txt,2018.67,1225.2,630.11,443.41,set(),set(),set()
0137.a3.txt,2002.49,920.4,796.02,671.64,set(),set(),set()
0138.a3.txt,2059.26,1274.07,637.04,355.56,set(),set(),set()
0139.a3.txt,1989.53,1335.08,654.45,340.31,set(),set(),set()
0142.a3.txt,2167.3,1159.7,988.59,304.18,set(),set(),set()
0143.a3.txt,2220.92,940.07,599.29,399.53,"{'Simpson', 'Nintendo', 'Tom', 'Jerry', 'Gina Bellafante'}",set(),set()
0146.a3.txt,1553.64,1430.33,616.52,530.21,"{'Jerry', 'Tom', 'Ginia Bellafante'}",set(),set()
0149.a3.txt,2121.43,1163.13,577.91,636.43,set(),set(),set()
0155.a3.txt,1849.02,1050.33,754.92,459.52,"{'Clinton', 'Gina Bellafante'}",set(),{'House'}
0156.a3.txt,1979.95,1165.41,576.44,413.53,"{'Schindler', 'Clinton'}",set(),set()
0157.a3.txt,1444.17,1201.46,594.66,558.25,set(),set(),set()
0158.a3.txt,1782.31,1197.28,761.9,489.8,"{'Jerry', 'Tom'}",set(),set()
0159.a3.txt,2161.84,1099.03,531.4,603.86,{'Televinken'},set(),"{'the Swedish Parliament', 'EU', 'Mighty Power Rangers', 'the Swedish'}"
0161.a3.txt,2126.29,953.61,837.63,489.69,set(),set(),set()
0162.a3.txt,2382.76,887.2,722.43,418.25,set(),set(),set()
0163.a3.txt,1751.74,986.08,696.06,614.85,set(),set(),"{'CBS', 'Time Magazine'}"
0165.a3.txt,1733.33,1211.11,611.11,466.67,"{'Schindler', 'Hana-bi', 'Ginia Bellafante', 'Bellafante'}",set(),{'the Japanese Mafia'}
0168.a3.txt,1688.48,1217.28,680.63,484.29,{'Benjamin Franklin'},set(),"{""Orwell's Big Brother"", 'the United Nations'}"
0169.a3.txt,2163.46,1045.67,612.98,444.71,"{'Schindler', 'Lilla Sportspegeln'}",set(),"{'Platoon', 'Power Ranger', 'Rangers', 'Power Rangers'}"
0171.a3.txt,1805.41,1297.3,627.03,551.35,"{'Jerry', 'Tom'}",set(),set()
0172.a3.txt,2079.91,1081.08,763.81,434.78,{'Olof Palme'},set(),set()
0173.a3.txt,2148.88,1207.87,547.75,519.66,{'Schindler'},set(),{'Pulp Fiction'}
0174.a3.txt,1952.58,1087.87,1143.65,446.3,{'Mc Ivor'},set(),{'Moral Founder'}
0175.a3.txt,1903.55,1180.2,558.38,380.71,{'Gina Bellafante'},set(),set()
0176.a3.txt,2133.33,1066.67,496.97,412.12,"{'Schindler', 'Ginia Bellanfante', 'Clinton'}",set(),set()
0177.a3.txt,1844.44,1022.22,688.89,688.89,"{'Tom & Jerry', 'Antikrundan', ""Astrid Lindgren's"", 'Ginia Bellafante'}",set(),set()
0178.a3.txt,2126.98,1026.46,804.23,634.92,set(),set(),{'the Age of Television'}
0179.a3.txt,2250.0,1166.67,583.33,404.76,"{'Johanna', 'Gina Bellafante'}",set(),"{'Senate', 'pony""and'}"
0182.a3.txt,2091.66,1128.08,646.3,599.29,set(),set(),"{'the US', 'Cartoon Network'}"
0185.a3.txt,1924.83,1093.39,603.64,478.36,"{'Schindler', 'Stallone'}",set(),"{'Time Magazine', 'the American Senate'}"
0186.a3.txt,1901.14,1026.62,798.48,735.11,"{'Schindler', 'Ginia Bellafante'}",set(),set()
0187.a3.txt,1677.1,1013.77,876.1,475.59,"{'Donald Duck', 'Bugs Bunny', 'Lowly Worm', 'Winnie the Pooh', 'Jerry', 'Tom', 'Snow White'}",set(),{'the Lion King'}
0188.a3.txt,1723.7,1204.06,760.46,544.99,{'Bruce Willis'},set(),set()
0189.a3.txt,1931.41,1164.26,568.59,514.44,set(),set(),set()
0190.a3.txt,1552.51,1255.71,536.53,468.04,{'Ginia Bellafante'},set(),"{'Walt Disney', 'catastrophies', 'Disney'}"
0192.a3.txt,1522.03,1281.71,560.75,240.32,{'Bill Clinton'},set(),set()
0193.a3.txt,2048.04,1226.3,594.18,353.98,"{'Jerry', 'Tom'}",{'Africa'},set()
0195.a3.txt,1982.32,984.85,429.29,631.31,{'Ginia Bellafante'},set(),{'Time Magazine'}
0196.a3.txt,1986.3,1255.71,742.01,319.63,set(),set(),set()
0198.a3.txt,1843.04,1034.48,475.62,487.51,"{'Lilla Aktuellt', 'Ginia Bellafante'}",{'Björnes Magasin'},set()
0199.a3.txt,1926.83,1121.95,573.17,548.78,set(),set(),{'Skilda Världar'}
