,Filename,Noun Freq,Verb Freq,Adj Freq,Adv Freq,Unique PER,Unique LOC,Unique ORG
0,0502.c1.txt,1321.84,1219.67,434.23,408.68,"{'Emily Bronte', 'Nelly', 'L. Cookson', 'Vogler', 'Thomas A.', 'ruff', 'Catherine', 'Dean', 'Woodring', 'Earnshaw', 'Lockwood', 'Carl R.', 'B. Longlerey\n\n', 'Paul', 'Bronte'}",set(),"{'Nelly', 'Heatcliff', 'Norgate', 'Grange', 'Lockwood'}"
0,0238.c1.txt,1092.9,1163.15,398.13,288.84,"{'Cookson', 'Emily', 'Emily Brontë', 'Ellen Dean', 'Heathcliff', 'Ed', 'Catherine', 'Cedric Watts', ""Emily Brontë's"", ""Arnold Kettle's"", 'Cedric', 'Thomas A. Vogler Munpericod', 'Linton', 'Edgar Linton', 'Brian Longley', 'Arnold Kettle', 'Godwin', 'Cathy'}",set(),"{'Kettle, Arnold', 'Prentize-Hall', 'Longman'}"
0,0165.c1.txt,1742.49,816.41,580.83,284.32,"{""Enoch Robinson's"", 'Benjy', 'Curtis Hartman', 'Elliot', 'Luster', 'Brogan', 'Krebs', 'Anderson', 'Kate', ""Ernest Hemingway's"", ""Jesse Bentley's"", 'Jesse Bentley', 'Kate Swift', 'Louise', 'Davis', 'Sally Adair Rigsbee', 'Adair Rigsbee', 'Hemingway', 'Quentin', 'Louise Bentley', 'Faulkner', 'Jesus', 'Compsons', ""William Faulkner's"", 'Nick', 'Jason', 'Mother'}",set(),"{'Bentley', ""Sherwood Anderson's"", 'Fury'}"
0,0140.c1.txt,1573.58,933.55,472.89,403.59,"{'Brogan p.6-7', 'Benjy', 'Curtis Hartman', 'Elliot', 'Brogan', 'Enoch Robinson', ""Ernest Hemingway's"", 'Ernest Hemingway', 'George Willard', 'Bill', 'Jaqueline Vaught Brogan', 'Kate Swift', 'Compson', 'Louise', 'Sally Adair Rigsbee', 'Adair Rigsbee', 'John Hardy', 'Rigsbee', 'Alice Hindman', 'Hemingway', 'Marjorie', 'Nick Adams', 'D.H Lawrence', 'Elizabeth Willard', 'Mrs Compson', 'Quentin', 'Daniel J. Singal', 'William Faulkner', 'E.R Hagermann', 'Jason Compson', 'Faulkner', 'Tom', 'Caroline', 'Geroge', 'Wash Williams', 'Nick', 'Jason', 'Sherwood Anderson'}",set(),"{'Compson', 'Time', 'Fury', 'The Sound and the', ""Hemingway's""}"
0,0200.c1.txt,1177.65,1021.64,649.22,508.3,"{'Isabella', 'Nelly', 'Emily', 'Hareton', 'Heathcliff', 'Catherine', ""Emily Bront'"", 'Earnshaw', 'Miriam', 'Cedric', 'Linton', 'Edgar Linton', 'Hindley', 'Kettle', ""Emily Bront''s"", 'Edgar', 'Cathy'}",set(),"{'Nelly', 'Watts', 'Hareton', 'Penguin Classics', 'Heathcliff', 'p', 'Earnshaws', 'Kettle, Arnold'}"
0,0501.c1.txt,1231.93,1025.46,461.11,426.7,"{'Isabella', 'Cederic Watts', 'Nelly', 'Miriam Allott', 'Hareton', 'XXI', 'Heathcliff', 'Catherine', 'Earnshaw', ""Emily Brontë's"", 'Miriam', 'Linton', 'Nelly Dean', 'Hindley'}",set(),"{'Watts', 'Popular Classics', 'P.47', 'Hareton', 'Earnshaws'}"
0,0219.c1.txt,1379.31,974.8,563.66,484.08,"{'Emily', 'Hareton', 'Edgar Linton Catherine', 'Heathcliff', 'L.', ""B. Longhrey's"", 'L. Cookson', 'Terry', 'Catherine', 'Earnshaw', 'Edgar Linton', 'Hindley', 'Bryan Longhrey', 'Edgar', 'Cathy', 'Isabella', 'Nelly', 'Cookson', 'Emily Brontë', 'Terry Eagleton', 'Lockwood', 'Brontë', 'Harlow', 'Longhrey', ""Emily Brontë's"", 'Eagleton'}",set(),"{'Nelly', 'Heatcliff', 'ch.4', ""T. Eagleton's"", 'St Ives plc', 'ch.7'}"
