,Filename,Noun Freq,Verb Freq,Adj Freq,Adv Freq,Unique PER,Unique LOC,Unique ORG
0,0176.a1.txt,1408.14,1243.12,649.06,682.07,set(),set(),{'Visingsö Folk High School'}
0,0177.a1.txt,1009.62,1370.19,697.12,625.0,"{'more""noggrant'}",set(),set()
0,0178.a1.txt,1275.3,1072.87,678.14,860.32,set(),set(),{'University'}
0,0179.a1.txt,1191.71,1424.87,544.04,556.99,set(),set(),set()
0,0180.a1.txt,1251.56,1451.81,688.36,738.42,set(),set(),"{'Upper Secondary School', 'Ekeby school', 'the Bilingual Social Science Programme'}"
0,0182.a1.txt,1603.42,1356.74,654.65,626.19,"{'Axminster', 'David Lodge', 'Wilton', 'Doris Lessing', 'Cleo Laine'}",set(),{'the English Department'}
0,0185.a1.txt,1548.95,1065.68,743.49,532.84,{'MVG'},set(),{'Disney'}
0,0186.a1.txt,1234.26,1448.36,478.59,793.45,"{'Winston Churchill', 'Adam'}",set(),{'the Department of Nordic Languages'}
0,0187.a1.txt,1298.7,1428.57,753.25,753.25,set(),set(),{'the Cambridge Certificate in Advanced English'}
0,0188.a1.txt,1138.31,1297.43,648.71,673.19,"{""John Grisham's""}",set(),"{'University', 'Primary School'}"
0,0189.a1.txt,1185.81,1297.85,625.58,522.88,{'debateprograms'},set(),{'CNN'}
0,0190.a1.txt,1189.54,1464.05,588.24,522.88,{'Clinton'},{'Komvux'},{'Newsweek'}
0,0191.a1.txt,1257.49,1365.27,754.49,682.63,set(),set(),"{'CNN', 'American Social Studies'}"
0,0192.a1.txt,935.18,1360.26,712.01,690.75,set(),set(),"{""haven''t""}"
0,0193.a1.txt,1212.9,1458.06,787.1,541.94,set(),{'Earth'},{'the Cambridge Exam'}
0,0194.a1.txt,1109.97,1469.68,791.37,688.59,{'David Lodge'},set(),{'the institute of education I'}
0,0195.a1.txt,1254.61,1500.62,639.61,578.11,set(),set(),set()
0,0196.a1.txt,1234.29,1280.0,731.43,594.29,"{'Paul', 'Karin', 'Cheryl', 'Morag', 'Jenny', 'Luckily Jenny'}",set(),set()
0,0197.a1.txt,1405.47,1281.09,671.64,572.14,set(),set(),set()
0,0198.a1.txt,1317.28,1402.27,609.07,495.75,"{'Big Ben', ""Madame Tussaud's""}",set(),{'Tottenham Hotspurs'}
0,0199.a1.txt,1388.54,1464.97,522.29,700.64,"{'Welsh', 'Huxtable', 'Dolly Parton', 'Tom Cleese British', 'Cosby'}",set(),set()
0,0200.a1.txt,1261.17,1320.75,774.58,705.06,"{'Dickens', 'Shakespeare', 'Austen'}",{'Caribbean'},{'Oxford'}
0,0201.a1.txt,1079.62,1417.0,607.29,688.26,"{'Brittish English', 'David Lodge'}",set(),set()
0,0202.a1.txt,1502.96,1171.6,627.22,568.05,set(),set(),{'the Agricultural University'}
0,0203.a1.txt,1487.7,1252.8,626.4,503.36,"{'Cornish', 'Bonnie', 'Diana', 'Charles'}",set(),{'un'}
0,0204.a1.txt,1466.99,1112.47,611.25,513.45,{'Björn Skifs'},set(),{'CNN'}
0,0205.a1.txt,1262.46,1461.79,708.75,642.3,"{'centainly', 'beacuase'}",set(),set()
0,0206.a1.txt,1068.21,1299.87,592.02,579.15,set(),set(),"{'travell', 'persume'}"
0,0207.a1.txt,1215.19,1443.04,594.94,556.96,{'Nice'},set(),set()
0,0208.a1.txt,1427.3,1141.84,820.7,642.28,"{'\x03&in', 'li'}",set(),"{'\x03[ngland', 'Edinburgh'}"
0,0209.a1.txt,1309.23,1172.07,598.5,573.57,"{""George Orwel's""}",set(),"{'Upper Secondary School', 'Animal Farm', 'Upper secondary School'}"
0,0212.a1.txt,1335.83,1073.66,649.19,811.49,set(),set(),set()
0,0213.a1.txt,1400.73,1400.73,828.26,548.11,set(),set(),"{'British-', 'Englishclasses'}"
0,0214.a1.txt,1169.45,1264.92,584.73,823.39,{'Bean'},set(),set()
0,0215.a1.txt,1226.33,1190.26,441.84,595.13,"{'Paul', 'Hugh', 'försäkringskassan', 'Andrew', 'Origami', 'Roberto Benini', 'Grant', 'Emir Kustrica', 'Beowulf', 'Krystof Kieslowski'}",{'Southern California'},"{'Contemporary School', 'Home Improvement and Dream', 'the National Geographic', 'the Canterbury Tales', 'Sheepfarm', 'the International Committee', 'ER', 'Ontario High School', 'Norrlands Nation', 'Vanity Fair'}"
0,0216.a1.txt,1363.64,1300.51,694.44,340.91,{'Laura Ingalls'},set(),{'American TV'}
0,0217.a1.txt,1174.9,1214.95,841.12,587.45,set(),set(),set()
0,0218.a1.txt,1404.36,1452.78,714.29,447.94,set(),set(),set()
0,0219.a1.txt,1457.83,1156.63,698.8,626.51,set(),set(),set()
0,0221.a1.txt,1308.18,1408.81,666.67,616.35,{'A.E. \n'},{'KOMVUX'},"{'Compulsory school', 'B.E.', 'KOMVUX'}"
0,0222.a1.txt,1433.39,1365.94,741.99,489.04,set(),set(),{'Bearkly University'}
0,0223.a1.txt,1308.56,1195.48,807.75,613.89,set(),set(),set()
0,0224.a1.txt,1220.78,1207.79,636.36,623.38,{'radioprograms'},set(),{'the Jerusalem Post'}
0,0226.a1.txt,1467.53,1129.87,896.1,688.31,set(),set(),set()
0,0227.a1.txt,1322.31,1404.96,684.77,602.13,{'mentioned-'},set(),{'H.P Lovecraft'}
0,0232.a1.txt,1347.61,1322.42,680.1,780.86,"{'James', 'Britons', 'Elisabeth George', 'Kate'}",set(),{'Agatha Christie'}
0,0233.a1.txt,1284.4,1153.34,786.37,563.56,set(),set(),{'gholies'}
0,0234.a1.txt,1452.66,1387.81,674.45,531.78,set(),set(),set()
0,0235.a1.txt,1602.14,1108.14,761.01,467.29,set(),set(),set()
0,0236.a1.txt,1099.05,1506.11,583.45,637.72,set(),set(),set()
0,0238.a1.txt,1187.1,1432.26,696.77,400.0,set(),set(),{'University'}
0,1001.a1.txt,1658.16,1224.49,739.8,408.16,set(),set(),set()
0,1003.a1.txt,1502.29,1364.68,733.94,493.12,set(),set(),set()
0,1004.a1.txt,1382.86,1245.71,708.57,628.57,"{""Johnny Hart's""}",set(),"{""Plato's Republic"", 'the University of Newcastle upon Tyne', 'UNT', 'Emmerdale', 'Fawlty Towers'}"
0,1005.a1.txt,1529.93,1164.08,709.53,720.62,set(),set(),{'Time'}
0,1006.a1.txt,1220.56,1349.04,770.88,535.33,"{'kom tillbaka med min äppelpaj', 'Dennis', 'McCahens'}",set(),set()
0,1007.a1.txt,1373.91,1304.35,573.91,539.13,{'John Steinbeck'},set(),"{'U.K', 'Times', 'Emmerdale'}"
0,1008.a1.txt,1468.86,1316.1,564.04,634.55,{'Grammar'},set(),set()
0,1009.a1.txt,1668.7,1242.39,645.55,450.67,"{'Malcolm MacDowell', 'Alan Wilder', ""Peter O'Toole""}",set(),"{'Depeche Mode', 'P.G. Wodehouse', 'Time'}"
0,1010.a1.txt,1277.96,1277.96,726.84,567.09,"{'Emma Thompson', 'Magnus', 'Anthony Hopkings'}",set(),"{'Nice Work', 'the university of Uppsala'}"
0,1012.a1.txt,1627.03,1138.92,713.39,675.84,set(),set(),set()
0,1013.a1.txt,1087.47,1193.85,626.48,839.24,"{'Hanna', 'Erling'}",set(),{'Visingsö Folk High School'}
0,1014.a1.txt,1439.17,1439.17,712.17,593.47,set(),set(),"{'Library', 'WWW', 'Search'}"
0,1016.a1.txt,1070.59,1082.35,694.12,776.47,set(),set(),set()
0,1017.a1.txt,1446.61,1400.69,780.71,792.19,set(),{'Western Australia'},set()
0,1018.a1.txt,1598.0,1260.92,911.36,561.8,"{'Jane Austen', 'Enid Blyton', 'Slang'}",set(),{'Upper Secondary School'}
0,1019.a1.txt,1562.25,1098.45,716.03,764.85,"{'Dickens', 'Walter Mosley', 'Elmore Leonard', 'Stephen King', 'Jules Verne', 'Cosby'}",set(),"{'MTV', 'Uppsala University', 'American TV', 'NBC'}"
0,1020.a1.txt,1250.0,1328.12,572.92,598.96,"{'Ally McBeal', 'Romeo', 'Oprah', 'Juliet'}",set(),"{'Romeo', 'MTV'}"
